word,pronunciation,word_type,definitions,examples,pl
a,à,conj,,"O waɛ la a wa gaŋ. S/he came and left. (2) in order to, O waɛ la a na nyɛ te. S/he has come in order to visit us.",
a,á,conj,,"A wola ka o ba wa? But why didn’t s/he come? Var. ana a [à] pron. they, them (3rd person plural weak form nonhuman), Vɛŋ ka a kpɛ a zage. Let them go into the pen., De a moɔ eŋ a. Give them the grass.",
a,à,def,,A bie kpɛ la a die. The child has gone into the room.,
a,á,v,,"Te a ba la. We hate them. aɛ, aara, aara, aareba, aaraa, aareba",
aa,áà,interj,,"A ŋmane ŋmarɛɛ la, aa. The calabash is broken; what a pity!, Aa, ka N da baŋ ka lɛ N gaaɛ. Oh, if I had known, I would have gone.",
aa,áá,interj,,"A-a, ta de ona. Oh no, don’t go that way. (2) why?; expression of doubt, A-a, fo naŋ ba gaa? Well, you haven’t gone yet?",
ãa,ã̀ã́,adv,Bayuoː A pɔgebil-pɛɛre na taa la poɔ. Ayuoː Ãaa? Bayuo: That teenage girl is pregnant. Ayuo: Is that true?,"N boɔle la a bie ka o sage ka “ãa.” I called the child and he answered, “Yes.” (2) what? (exclamation of disbelief), Ka Naa boɔle fo ka fo zagere, ãa. You refuse to answere the chief’s call, what? ãaa [ã̀ã́ã̀] interj. is that so? (expression of uncertain surprise)",
âaa,ã̀ã́ã́,part,,"Fo na gaa la? âaa. Will you go? Yes, I will.",
aa-ee,áá-ɪɪ̀,,,"Aa-ee, fo koŋ daŋ ma ta. I don’t think you can get there before me.",
aa-hii,áá-hĩĩ̀,interj,,,
aane,áánɪ,,,,
aaŋ,áàŋ,interj,,,
aba,ábà,interj,,"A bie la lee la, aba. The child has fallen again, oh no! (2) expression of satisfaction or agreement, Aba, lɛ ka N boɔrɔ. Good, that is what I want. (3) expression of empathy, Aba, mɔ kyɛ so a bie kõɔ Try and bathe the child.",
abaa,ábàà,interj,,"Abaa, fo waa bie. Well done, you are a good child. (2) exclamation of despair or being distraught, Abaa, vɛŋ a zɔɔre lɛ. Oh, stop the fight. abɛ [àbɛ]́ n. (1) palm tree (2) palm fruit",
abɛbiri,àbɛ̀bírì,n,,,
abɛdãã,àbɛdã́ ́ã̀,n,,,
abɛkãã,àbɛkã́	́ã̀,n,,,
abɛsaare,ábɛsáárɪ́,,,,
abɛteɛ,àbɛ̀tɪɛ̀ ̀,n,,,
abuobo,ábúóbò,,,Abuobo ka fo boɔrɔ? Which ones do you want?,
Afereka,áfɪrɪ́ kà,,,,
Aferekaneɛ,áfíríkànɪɛ́,,,,
afu,àfú,n,,,
age,ágɪ,,,,
age,ágɪ,,,,
agoo,àgòò,v,,,
agoo,àgòò,n,,,
agye,ádzé,n,,"Ahaa, o binzie la be. That’s right, that is its position.",
ahaŋ,àháŋ,interj,,"Ahaŋ a polisi la waana. All is well, as the police are coming. ai [àí] part. no aii [áìì] interj. an expression of despair, Aii, a nɔgyɛle ŋmarɛɛ. Oh no; the egg is broken!",
akaase,àkáásɪ,,,"Akaase, neɛ kyebe na daŋ ma kɔnoɔre. I dare anyone to finish his portion of the weeding before me.",
akaasemanakei,ákáásɪmànà,,,"A bie ba toɔ tuo daga, akaasemanakei. The child has failed to carry the box, what a pity.",
akai,àkàí,interj,,"Akai, fo deme kyebe. Too bad, you have no case.",
aku,ákú,interj,,"A nannyigri la maaleŋ fa la n zɔmeŋɛ na, aku.",
akuroku,àkúrókú,interj,,,
