Dagaare,Translation
n mengɛ,myself
maa mengɛ,"me, myself"
fo mengɛ,yourself
foo mengɛ,"you, yourself"
o mengɛ,him-/herself
onɔ mengɛ,"s/he, him-/herself"
te menne,ourselves
tenee menne,"we, ourselves"
yɛ menne,yourselves
yɛnee menne,"you, yourselves"
ba menne,themselves
bana menne,"they, themselves"
a menne,themselves (non-human)
ana menne,"they themselves" (non-human)
Nimirinayɔɔ la nimiri sane,An eye for an eye and tooth for a tooth
vɛŋ ka fo gaa mɛɛle ayi ne o,To go the extra mile
ka o de koɔ a neba niŋe eŋe a pɛge o nuuri,Wash your hands of the matter
"Ta ko bare boŋ naŋ e bonsoŋ, bee lɔɔ yɛ lɛpɛl-veɛlaa eŋ dobaare poɔ",To cast pearls before swine
"A soba na zaa naŋ ba taa yelbieri a yɛpoɔ, yɛ vɛŋ ka o de weɛ de kuurii za neŋ a pɔgo",To cast the first stone/People who live in glass houses must not throw stones
a nimiri zaŋnoo poɔ,In/By the twinkling of an eye
yɛ le la yi a nɔndeteroo sobiri poɔ,To fall from grace to grass
ta le a nakuoraa na noɔre naŋ nɛbrɛ a bombie,Do not muzzle out the ox that treads the grain
Tutaafaare maŋ saaŋ la eveɛle,Bad company ruins good morals
"Ka zɔŋ wa tagra zɔŋ, ba zaa bayi na laŋ le la a bɔg poɔ","If the blind lead the blind, both will fall in a pit"
Yiri na zaa naŋ poŋ kyaare ne o meŋɛ koŋ toɔ are,No city or house divided against itself will stand
Nensaala Bidɔɔ,The Son of man
A baroo saŋ mannoo,Signs of the times
Zimanee gogori anuu saŋ,The eleventh hour
"Nanyigiri die","Den of thieves"
"Peɛle eelɛ","Sounding your trumpet"
"Balaŋ naŋ voɔ a soɔ na bɔre wɛ la a soɔ eŋɛ","All who take the sword will perish by the sword"
"A kuuri na mɛmeɛrebɛ naŋ zagre, waa la a goŋgonaa zukuuri","The stone that the builders rejected, has become the cornerstone"
"Kyɛ a sobiri naŋ gɛrɛ a Nyɔvore zie ne a be dendɔree la bile","Straight and narrow"
"Neɛ bamaŋ de pɛmpaala a liiri ne kparekora","No man seweth a piece of new cloth on an old garment"
"Samaria Dɔɔvelaa","Good Samaritan"
"Voore O vooroŋ pare baara","Breathed His last/He gave up the ghost"
"Dire, nyuuro, a nyɛrɛ popeɛloŋ","Eat, drink and be merry"
"Nyɛrɛ a kyaane","See the light"
"Ta bale","Not lose heart"
"Yiri kaŋa zaa naŋ poŋ kyaare ne o meŋɛ na le la","Divided we fall"
"Tuo dagara","A cross you have to bear"
"Kaara lɛ nensaala naŋ waa kyɛ dire o sarɛɛ","Don’t judge by appearances"
"A soba na naŋ ba taa yelbieri zaa a yɛ poɔ, yɛ vɛŋ ka o de weɛ de kuurii za","Cast the first stone"
Dagaare,Translation
"Yɔ-ŋmaabo e la sukyiri bone","Circumcision of the heart"
"De fo nyɔvore ko","Risk your neck"
"A nimiri zaŋbo poɔ","Twinkling of an eye"
"Goɔ da kyɔge ma la","A thorn in the flesh"
"Ye le la yi a nɔndeteroo sobiri poɔ","Fall from grace"
"Bon na neɛ naŋ bore, onɔ la ka o na kyɛ","Whatever one sows, that will he reap"
"Bonso libie nɔmmo la a yelfaa eroŋ yaga piilu zie","The love of money is a root of all kinds of evil"
"Kŏɔnoɔ ane kŏɔtuo natŏɔ bullo yire la ziyenaa bee?…Can a fig tree bear olives, or a grapevine produce figs?","Does a spring pour forth from the same opening both fresh and salt water?…Can a fig tree bear olives, or a grapevine produce figs?"
"Bille mɛmɛrɛ poɔ","Wallowing in the mire"
"Baa maŋ leɛ di la o meŋɛ tiiri","The dog returns to his own vomit"
"Tuori","God speed"
"Ba waa maaroŋ bee toloŋ","Lukewarm"
"Poore bare","Spit out of"
"Nimiri na yɔɔ la nimiri sane, ka nyene, meŋ na yɔɔ la nyenee sane","An Eye for an eye, and a tooth for a tooth."
"…vɛŋ ka fo gaa mɛɛle ayi ne o","…go with him two (i.e. To go the extra mile)"
"…ka o de koɔ…a pɛge o nuuri…","...washed his hands of the matter"
"Ta ko bare boŋ naŋ e bonsoŋ, bee lɔɔ yɛ lɛpɛl-veɛlaa eŋ dobaare poɔ","Do not give dogs what is holy (=To cast pearls before swine KJV)"
"A soba na zaa naŋ ba taa yelbieri a yɛ poɔ, yɛ vɛŋ ka o de weɛ de kuurii zaneŋ a pɔgo","Be the first to throw a stone at."
"… a nimiri zaŋnoo poɔ…","In the twinkling of an eye"
"… yɛ le la yi a nɔndeteroo sobiri poɔ","Fallen away from grace. (To fall from grace)"
"…ta le a nakuoraa na noɔre naŋ nɛbrɛ a bombie","You shall not muzzle out an ox when it treads out the grain."
"Tutaafaare maŋ saaŋ la eveɛle.","Bad company ruins good morals."
"Baa maŋ leɛ di la o meŋɛ tiiri","The dog returns to its own vomit."
"Ka zɔŋ wa ta-gra zɔŋ, ba zaa bayi na laŋ le la a bɔg poɔ.","The blind leading the blind."
"Yiri na zaa naŋ poŋ kyaare ne o meŋɛ koŋ toɔ are.","A house divided against itself"
"Nensaala Bidɔɔ","The Son of man"
"A baroosaŋ mannoo","Signs of the times"
